#NAME?,Name,Symbol,Rank,Price Usd,Price Btc,24h Volume Usd,Market Cap Usd,Available Supply,Total Supply,Max Supply,Percent Change 1h,Percent Change 24h,Percent Change 7d,Last Updated,24h Volume Btc,Market Cap Btc
condensate,Condensate,RAIN,792,0.0096322,0.0000011596,2669.66,1834844.0,190490690.0,190490690.0,500000000.0,0.66,2.81,-6.85,1526748251,0.3213867377,221.0
creativecoin,Creativecoin,CREA,793,0.125735,0.0000151366,2912.3,1803841.0,14346368.0,14346368.0,115000000.0,-0.2,1.55,-8.41,1526748251,0.3505969285,217.0
apr-coin,APR Coin,APR,794,3.51534,0.0004231938,61288.8,1757975.0,500087.0,1565213.0,,-0.21,17.78,92.32,1526748265,7.3782457272,212.0
martexcoin,MarteXcoin,MXT,795,0.586037,0.0000705500,942.433,1754362.0,2993603.0,2993603.0,5000000.0,-1.73,5.83,4.08,1526748247,0.1134546974,211.0
magnet,Magnet,MAG,796,0.0676745,0.0000081470,6877.13,1745607.0,25794159.0,26044159.0,,3.11,10.45,-13.77,1526748258,0.8279025701,210.0
kekcoin,KekCoin,KEK,797,0.163098,0.0000196345,680.91,1739550.0,10665676.0,11665676.0,21000000.0,-0.09,,-0.53,1526748258,0.0819712786,209.0
capricoin,Capricoin,CPC,798,0.874114,0.0001052301,52734.9,1739526.0,1990045.0,200995023.0,205000000.0,-0.13,1.8,11.84,1526748245,6.3484853774,209.0
kobocoin,Kobocoin,KOBO,799,0.0696609,0.0000083861,1219.28,1720641.0,24700248.0,24700248.0,,-0.09,1.58,-20.9,1526748253,0.1467828943,207.0
argentum,Argentum,ARG,800,0.180768,0.0000217617,754.303,1719001.0,9509431.0,9509431.0,,2.01,-1.43,51.22,1526748241,0.0908066871,207.0
linx,Linx,LINX,801,0.0709978,0.0000085471,15389.8,1707727.0,24053245.0,25053245.0,100000000.0,-0.11,-0.45,-8.08,1526748251,1.8526994507,206.0
boutspro,BoutsPro,BOUTS,802,0.0221881,0.0000026711,51488.0,1699698.0,76604038.0,2000000000.0,,-0.39,-2.19,-16.58,1526748266,6.1983774524,205.0
unitus,Unitus,UIS,803,0.0287477,0.0000034608,4589.64,1690820.0,58815845.0,58815845.0,,9.28,11.7,13.35,1526748246,0.5525233276,204.0
the-cypherfunks,The Cypherfunks,FUNK,804,0.0000354296,0.0000000043,2569.21,1690219.0,47706407499.0,47706407499.0,,-2.69,-2.73,65.87,1526748246,0.309294075,203.0
biotron,Biotron,BTRN,805,0.0809572,0.0000097460,115090.0,1680219.0,20754409.0,1000000000.0,,-0.37,-1.59,182.31,1526748265,13.8550975178,202.0
coinlancer,Coinlancer,CL,806,0.023708,0.0000028541,12485.8,1675368.0,70666779.0,300000000.0,,0.23,11.01,4.7,1526748261,1.5031017168,202.0
blocklancer,Blocklancer,LNC,807,0.0139172,0.0000016754,10003.7,1672018.0,120140384.0,152177339.0,,-0.18,23.48,11.07,1526748264,1.20429437,201.0
yocoin,Yocoin,YOC,808,0.0148862,0.0000017921,3432.01,1670153.0,112194700.0,171704700.0,336000000.0,-0.64,-0.27,-2.81,1526748247,0.4131621621,201.0
digitalprice,DigitalPrice,DP,809,0.0839323,0.0000101042,6475.81,1660237.0,19780674.0,27280675.0,,-0.2,5.19,-2.26,1526748244,0.7795897042,200.0
speed-mining-service,Speed Mining Service,SMS,810,15.7588,0.0018971215,789.233,1649633.0,104680.0,300000.0,,-0.05,1.55,-8.8,1526748262,0.0950117315,199.0
vivo,VIVO,VIVO,811,0.860702,0.0001036155,40105.9,1641101.0,1906700.0,2726700.0,,12.96,55.4,30.78,1526748254,4.8281445437,198.0
ellaism,Ellaism,ELLA,812,0.211051,0.0000254074,2986.14,1640648.0,7773704.0,7773704.0,280000000.0,-0.07,0.14,-5.08,1526748257,0.3594861491,198.0
deutsche-emark,Deutsche eMark,DEM,813,0.0425609,0.0000051237,1975.86,1620552.0,38076075.0,45058051.0,,0.1,-3.58,26.39,1526748241,0.2378636978,195.0
chronologic,Chronologic,DAY,814,2.32703,0.0002801393,56480.9,1613015.0,693165.0,999727.0,,-0.4,-1.01,8.61,1526748256,6.7994471926,194.0
fantasy-cash,Fantasy Cash,FANS,815,0.348961,0.0000420096,10603.8,1605954.0,4602101.0,4602101.0,,16.68,34.43,3.17,1526748247,1.2765373452,193.0
intensecoin,IntenseCoin,ITNS,816,0.00370635,0.0000004462,3833.55,1596049.0,430625519.0,430625519.0,999481516.0,-1.06,3.88,-14.24,1526748259,0.4615015126,192.0
farad,Farad,FRD,817,0.011632,0.0000014003,1378.39,1572483.0,135185936.0,183333333.0,,-0.09,15.8,36.44,1526748258,0.1659373348,189.0
equitrader,EquiTrader,EQT,818,0.146217,0.0000176023,1263.61,1552036.0,10614605.0,11714605.0,,1.04,-1.2,-18.59,1526748251,0.1521195566,187.0
noblecoin,NobleCoin,NOBL,819,0.000664687,0.0000000800,1248.03,1547913.0,2328785258.0,2328785258.0,,-0.07,-8.99,-26.27,1526748242,0.15024396,186.0
fundyourselfnow,FundYourselfNow,FYN,820,1.6125,0.0001941206,4474.91,1495395.0,927377.0,12500000.0,,-0.58,28.35,-3.84,1526748253,0.5387115686,180.0
jesus-coin,Jesus Coin,JC,821,0.0000836789,0.0000000101,2222.69,1490535.0,17812557939.0,20325184344.0,,-0.13,2.45,0.54,1526748263,0.2675783013,179.0
tidex-token,Tidex Token,TDX,822,0.156316,0.0000188181,75133.9,1485002.0,9499999.0,100000000.0,100000000.0,-2.14,-6.51,-7.41,1526748263,9.0449866313,179.0
skincoin,SkinCoin,SKIN,823,0.0166217,0.0000020010,11430.6,1465759.0,88183483.0,388183483.0,,-0.18,2.88,-2.52,1526748253,1.376071576,176.0
bitzeny,Bitzeny,ZNY,824,0.0190855,0.0000022976,5411.61,1443141.0,75614500.0,197510000.0,250000000.0,-3.37,-0.45,3.2,1526748245,0.6514760994,174.0
unbreakablecoin,UnbreakableCoin,UNB,825,0.63112,0.0000759773,10073.7,1437786.0,2278150.0,2278150.0,,0.53,3.53,-2.24,1526748243,1.2127213126,173.0
tigereum,Tigereum,TIG,826,0.0973767,0.0000117227,13356.5,1419995.0,14582493.0,19743794.0,,-0.64,-4.3,-14.25,1526748263,1.6079208445,171.0
wandx,WandX,WAND,827,0.110165,0.0000132622,14142.1,1348875.0,12244135.0,16013284.0,,-9.44,-2.32,3.96,1526748260,1.7024952177,162.0
escoro,Escroco,ESC,828,0.614835,0.0000740168,84923.1,1324662.0,2154500.0,3100000.0,3100000.0,-10.16,-7.81,20.99,1526748260,10.2234584413,159.0
ebtcnew,eBitcoin,EBTC,829,0.068399,0.0000082342,11868.6,1292545.0,18897126.0,21000000.0,,1.71,3.01,-21.83,1526748257,1.4288001599,156.0
bitdeal,Bitdeal,BDL,830,0.00722847,0.0000008702,17676.2,1269202.0,175583793.0,219596262.0,300000000.0,-1.78,4.39,4.22,1526748253,2.1279474737,153.0
inpay,InPay,INPAY,831,0.12608,0.0000151781,1838.84,1260800.0,10000000.0,10000000.0,,-0.18,-2.3,-25.95,1526748250,0.2213685596,152.0
bytecent,Bytecent,BYC,832,0.588996,0.0000709062,82132.1,1258287.0,2136325.0,2136325.0,,0.1,-2.08,2.26,1526748244,9.8874642005,151.0
digitalcoin,Digitalcoin,DGC,833,0.0429086,0.0000051655,1385.36,1247087.0,29063803.0,29063803.0,48166000.0,-5.53,9.39,8.67,1526748241,0.1667764176,150.0
miners-reward-token,Miners' Reward Token,MRT,834,0.124416,0.0000149778,121681.0,1244160.0,10000000.0,10000000.0,,-0.04,0.26,-8.11,1526748252,14.648554358,150.0
innova,Innova,INN,835,0.390005,0.0000469507,6847.4,1238085.0,3174537.0,3924537.0,42000000.0,1.17,-1.12,-15.6,1526748258,0.8243235272,149.0
ongsocial,onG.social,ONG,836,0.0468093,0.0000056351,9418.58,1226489.0,26201823.0,150000000.0,,-0.45,10.72,-17.35,1526748259,1.1338547604,148.0
draftcoin,DraftCoin,DFT,837,0.155825,0.0000187590,64961.2,1219759.0,7827750.0,17827750.0,,-4.05,50.38,37.37,1526748246,7.8203472141,147.0
machinecoin,Machinecoin,MAC,838,0.0565223,0.0000068044,5160.72,1211570.0,21435250.0,21435250.0,,-8.99,11.63,1.27,1526748244,0.6212727332,146.0
centra,Centra,CTR,839,0.0177559,0.0000021375,3373.66,1207401.0,68000000.0,98272765.0,,-12.33,-17.06,5.42,1526748253,0.4061377035,145.0
bitwhite,BitWhite,BTW,840,0.0326596,0.0000039317,123709.0,1186372.0,36325371.0,60342895.0,,-0.1,2.89,-15.24,1526748262,14.8926949242,143.0
kolion,Kolion,KLN,841,1.66201,0.0002000809,9872.23,1164278.0,700524.0,1000000.0,,-0.36,1.2,-9.28,1526748256,1.1884673679,140.0
onix,Onix,ONX,842,0.0108842,0.0000013103,1648.18,1157063.0,106306637.0,111353313.0,1151920000.0,1.72,-10.69,-21.47,1526748253,0.1984159756,139.0
arcticcoin,Advanced Technology Coin,ARC,843,0.0465471,0.0000056036,4610.13,1152946.0,24769450.0,24769450.0,,0.54,2.93,-0.47,1526748250,0.5549900141,139.0
renos,Renos,RNS,844,0.0344806,0.0000041509,7014.35,1150138.0,33356077.0,33356077.0,,-0.09,15.37,30.75,1526748251,0.8444217853,138.0
sagacoin,SagaCoin,SAGA,845,0.330682,0.0000398091,8277.84,1140718.0,3449593.0,5549593.0,42000000.0,-2.23,2.2,-15.92,1526748260,0.9965268958,137.0
fluttercoin,FlutterCoin,FLT,846,0.00257566,0.0000003101,505.801,1124149.0,436450711.0,436450711.0,,-0.06,-3.82,-12.88,1526748242,0.0608908001,135.0
flik,FLiK,FLIK,847,0.0186739,0.0000022481,2660.62,1122744.0,60123682.0,80000000.0,600000000.0,9.12,6.81,-2.85,1526748256,0.3202984582,135.0
fantomcoin,Fantomcoin,FCN,848,0.149555,0.0000180042,883.498,1087569.0,7272036.0,7272036.0,,-0.07,-0.53,9.13,1526748243,0.1063598136,131.0
megacoin,Megacoin,MEC,849,0.0290489,0.0000034970,1511.07,1078646.0,37132081.0,37132081.0,42000000.0,-0.09,-2.56,11.63,1526748242,0.1819100027,130.0
oceanlab,Oceanlab,OCL,850,0.0230467,0.0000027745,1053.64,1071672.0,46500000.0,50000000.0,,0.58,-0.09,-22.16,1526748255,0.1268423403,129.0
woodcoin,Woodcoin,LOG,851,0.132937,0.0000160036,3198.16,1068174.0,8035193.0,8035193.0,,-0.07,5.35,-7.64,1526748245,0.3850101545,129.0
petrodollar,PetroDollar,XPD,852,0.0166888,0.0000020091,3964.44,1067971.0,63993275.0,63993275.0,,9.62,16.22,14.52,1526748242,0.4772586915,129.0
cryptonite,Cryptonite,XCN,853,0.00256933,0.0000003093,4858.49,1065762.0,414801608.0,414801608.0,,-0.09,-1.36,-6.11,1526748243,0.5848888065,128.0
shekel,Shekel,JEW,854,0.0104612,0.0000012594,5741.06,1056851.0,101025795.0,101025795.0,,-1.28,-11.98,-10.91,1526748263,0.6911369029,127.0
bittokens,BitTokens,BXT,855,1.78588,0.000214993,4034.35,1052581.0,589390.0,589390.0,,-0.09,7.67,58.57,1526748255,0.4856747995,127.0
student-coin,bitJob,STU,856,0.0218123,0.0000026259,52999.7,1047950.0,48043991.0,200000000.0,,0.08,3.34,5.17,1526748258,6.3803632975,126.0
legends-room,Legends Room,LGD,857,0.520865,0.0000627043,3691.17,1041730.0,2000000.0,30000000.0,,-3.03,1.14,-7.02,1526748251,0.4443611113,125.0
vulcano,Vulcano,VULC,858,0.00102052,0.0000001229,3727.89,1031862.0,1011113960.0,1080002515.0,,0.33,-0.28,-39.69,1526748257,0.4487816447,124.0
eltcoin,ELTCOIN,ELTCOIN,859,0.0112211,0.0000013509,1426.72,1009899.0,90000000.0,100000000.0,,-0.58,-8.05,-9.77,1526748258,0.1717555368,122.0
smileycoin,SmileyCoin,SMLY,860,0.0000387305,0.0000000047,5383.21,1005453.0,25960250000.0,25960250000.0,,-2.91,-19.51,12.92,1526748244,0.6480571684,121.0
wild-crypto,Wild Crypto,WILD,861,0.0409767,0.0000049330,1492.26,998744.0,24373456.0,100000000.0,,-0.02,1.03,27.76,1526748256,0.1796455628,120.0
photon,Photon,PHO,862,0.0000422086,0.0000000051,1347.04,967169.0,22914032039.0,22914032039.0,,-1.76,3.27,-14.23,1526748243,0.1621632684,116.0
dinastycoin,Dinastycoin,DCY,863,0.000581601,0.0000000700,755.238,949857.0,1633176407.0,1633176407.0,,-0.09,-3.05,-16.17,1526748252,0.090919247,114.0
growers-international,Growers International,GRWI,864,0.793885,0.0000955718,1184.47,940672.0,1184897.0,1184897.0,,-0.07,-2.91,-21.85,1526748254,0.1425922961,113.0
procurrency,ProCurrency,PROC,865,0.00947179,0.0000011403,15482.3,930609.0,98250576.0,15005435371.0,,0.49,4.42,-21.5,1526748251,1.8638350534,112.0
emphy,Emphy,EPY,866,0.119825,0.0000144251,1399.95,923479.0,7706898.0,15375000.0,,-0.69,0.82,58.19,1526748258,0.1685328332,111.0
bitradio,Bitradio,BRO,867,0.143576,0.0000172844,1204.6,919292.0,6402827.0,11402831.0,,1.38,2.43,23.64,1526748253,0.145015644,111.0
mcap,MCAP,MCAP,868,0.0866796,0.0000104349,49566.4,909269.0,10490000.0,100000000.0,,0.25,3.31,11.71,1526748252,5.967045839,109.0
808coin,808Coin,808,869,0.0000124530,0.0000000015,3904.93,891998.0,71629197777.0,71629197777.0,,-8.71,-22.41,-45.2,1526748248,0.4700945864,107.0
bitsum,Bitsum,BSM,870,0.00111169,0.0000001338,11698.0,875482.0,787523803.0,1844674407.0,,-0.77,9.51,-24.56,1526748264,1.4082624969,105.0
piplcoin,PiplCoin,PIPL,871,0.0103821,0.0000012498,964.777,866327.0,83444258.0,7489958537.0,7531907537.0,-1.23,0.32,-19.17,1526748256,0.1161445774,104.0
popularcoin,PopularCoin,POP,872,0.0002494,0.0000000300,1448.63,859675.0,3446971804.0,3446971804.0,4999999999.0,-0.09,2.44,-11.01,1526748249,0.1743931698,103.0
equal,Equal,EQL,873,0.00264339,0.0000003182,3672.3,854253.0,323165690.0,797461839.0,,-0.62,3.98,-1.51,1526748262,0.4420894484,103.0
happycoin,Happycoin,HPC,874,0.0586934,0.0000070658,205530.0,844893.0,14395031.0,14395031.0,100000000.0,-0.62,13.06,25.26,1526748250,24.742707384,102.0
moin,Moin,MOIN,875,0.110979,0.0000133602,4472.82,844225.0,7607066.0,7607066.0,,-2.18,12.56,16.2,1526748247,0.5384599642,102.0
reecoin,ReeCoin,REE,876,0.000328645,0.0000000396,61366.7,841331.0,2560000000.0,6650666335.0,,9.78,19.35,305.0,1526748247,7.3876237105,101.0
greenmed,GreenMed,GRMD,877,0.0781962,0.0000094136,12135.7,841186.0,10757373.0,14899993.0,,19.8,-12.64,13.37,1526748264,1.4609549652,101.0
truckcoin,Truckcoin,TRK,878,0.00448664,0.0000005401,4043.53,840712.0,187381245.0,187381245.0,,-0.06,4.38,61.41,1526748243,0.4867799328,101.0
version,Version,V,879,0.00166762,0.0000002008,537.345,830647.0,498103014.0,498103014.0,,-0.09,-17.8,-17.32,1526748257,0.0646882212,100.0
jetcoin,Jetcoin,JET,880,0.121224,0.0000145935,16159.3,827196.0,6823701.0,80000000.0,,-0.28,-5.81,-4.14,1526748252,1.9453356271,100.0
qbic,Qbic,QBIC,881,0.456014,0.0000548972,7299.09,797826.0,1749565.0,2491457.0,52500000.0,-0.83,9.97,23.4,1526748262,0.8787001802,96.0
fujicoin,FujiCoin,FJC,882,0.000606,0.0000000730,8058.23,794431.0,1310942755.0,1310942755.0,10000000000.0,-0.19,-0.77,3.33,1526748245,0.9700891691,96.0
drp-utility,DRP Utility,DRPU,883,0.22352,0.0000269084,1411.4,789109.0,3530373.0,3530373.0,,-0.17,-5.66,4.55,1526748262,0.1699112402,95.0
platinumbar,PlatinumBAR,XPTX,884,0.904888,0.0001089348,848.087,787690.0,870483.0,870483.0,,-0.07,11.51,-21.54,1526748247,0.1020968641,95.0
nitro,Nitro,NOX,885,0.110709,0.0000133277,68350.3,784787.0,7088734.0,120000000.0,,8.96,4.5,36.3,1526748261,8.2283436604,94.0
minereum,Minereum,MNE,886,0.267181,0.0000321646,44308.1,775395.0,2902133.0,2902133.0,,-1.29,-0.29,-3.92,1526748251,5.3340259478,93.0
unify,Unify,UNIFY,887,0.0432109,0.0000052019,4909.18,771783.0,17860831.0,17860831.0,19276800.0,-3.06,20.11,3.68,1526748252,0.5909911168,93.0
guess,Peerguess,GUESS,888,0.0501748,0.0000060403,54512.7,743507.0,14818334.0,200000000.0,,0.96,25.45,-15.6,1526748262,6.562505643,90.0
lanacoin,LanaCoin,LANA,889,0.000818947,0.0000000986,894.378,739304.0,902749586.0,902749586.0,,-0.07,5.93,19.73,1526748247,0.1076696012,89.0
op-coin,OP Coin,OPC,890,0.00515158,0.0000006202,323003.0,735502.0,142772093.0,751788879.0,2000000000.0,-3.83,-13.28,29.11,1526748260,38.8846821056,89.0
suretly,Suretly,SUR,891,3.26276,0.000392787,8543.49,724297.0,221989.0,237614.0,,-0.68,6.1,33.19,1526748254,1.028507143,87.0
blitzcash,Blitzcash,BLITZ,892,0.17448,0.0000210048,128872.0,723832.0,4148511.0,4148511.0,,-0.06,4.63,-37.63,1526748244,15.514242135,87.0
embers,Embers,MBRS,893,0.0144622,0.0000017410,547.234,723110.0,50000000.0,50000000.0,,-0.07,-11.49,-27.31,1526748253,0.0658787074,87.0
insanecoin-insn,InsaneCoin,INSN,894,0.0367841,0.0000044283,2330.98,720396.0,19584430.0,19834430.0,30000000.0,0.31,2.93,-1.14,1526748251,0.2806147816,87.0
numus,Numus,NMS,895,0.261731,0.0000315085,7264.37,719990.0,2750877.0,2750877.0,,0.53,9.58,-31.66,1526748260,0.8745204167,87.0
leviar,Leviar,XLC,896,0.0598218,0.0000072016,685.459,705619.0,11795351.0,11795351.0,54000000.0,-3.42,0.96,-5.66,1526748251,0.0825189095,85.0
veros,Veros,VRS,897,0.0553171,0.0000066593,7969.25,677681.0,12250840.0,100000000.0,,0.62,-7.69,-34.22,1526748249,0.9593773212,82.0
aerium,Aerium,AERM,898,0.00604502,0.0000007277,3366.01,673384.0,111394846.0,163538220.0,500000000.0,3.82,11.02,13.25,1526748258,0.405216759,81.0
authorship,Authorship,ATS,899,0.0068213,0.0000008212,2995.56,664875.0,97470428.0,100000000.0,,-1.65,-9.6,-1.36,1526748257,0.3606201748,80.0
inflationcoin,InflationCoin,IFLT,900,0.0000148033,0.0000000018,2472.34,663041.0,44790092020.0,44790092020.0,,8.99,15.66,5.54,1526748249,0.2976323903,80.0
deuscoin,DeusCoin,DEUS,901,0.0593233,0.0000071416,931.316,657293.0,11079837.0,100005000.0,,-0.07,6.17,-19.04,1526748251,0.1121163785,79.0
speedcash,SpeedCash,SCS,902,1.389,0.0001672146,6174.77,654348.0,471093.0,476918.0,,4.9,-2.9,-48.52,1526748251,0.7433490355,79.0
incakoin,IncaKoin,NKA,903,0.0000436578,0.0000000053,809.943,652602.0,14948120462.0,14950120462.0,,-0.2,10.12,-26.58,1526748244,0.0975049027,79.0
startcoin,Startcoin,START,904,0.0144187,0.0000017358,640.711,649992.0,45079785.0,70782220.0,,-1.19,5.06,-6.91,1526748243,0.0771319262,78.0
netko,Netko,NETKO,905,0.116341,0.0000140057,1917.2,629473.0,5410590.0,5410590.0,,-6.64,-6.58,-9.38,1526748250,0.2308019199,76.0
billionaire-token,Billionaire Token,XBL,906,0.192048,0.0000231197,81362.9,627665.0,3268274.0,3315270.0,3315372.0,10.49,33.06,50.47,1526748255,9.7948641396,76.0
triangles,Triangles,TRI,907,5.32896,0.0006415263,519.994,591052.0,110913.0,110913.0,,-0.07,-4.71,-8.66,1526748243,0.0625994229,71.0
elcoin-el,Elcoin,EL,908,0.0521983,0.0000062839,1556.5,585089.0,11208967.0,20935289.0,,-0.07,12.35,21.25,1526748247,0.1873790884,70.0
bitcoin-scrypt,Bitcoin Scrypt,BTCS,909,0.033899,0.0000040809,3348.62,584740.0,17249463.0,17249463.0,,-0.07,17.18,-3.55,1526748242,0.4031232657,70.0
firstcoin,FirstCoin,FRST,910,0.0185357,0.0000022314,1462.62,578453.0,31207528.0,110000000.0,,-1.31,-1.53,-23.35,1526748250,0.1760773545,70.0
sugar-exchange,Sugar Exchange,SGR,911,0.165139,0.0000198802,11288.3,577987.0,3500000.0,80000000.0,,-0.43,13.56,7.31,1526748259,1.3589408055,70.0
elementrem,Elementrem,ELE,912,0.0216023,0.0000026006,1972.61,563967.0,26106820.0,26106820.0,,1.87,-0.9,-13.87,1526748248,0.2374724469,68.0
votecoin,VoteCoin,VOT,913,0.0192755,0.0000023205,576.09,560254.0,29065625.0,29065625.0,220000000.0,-0.52,3.31,2.75,1526748259,0.0693525339,67.0
arbitragect,ArbitrageCT,ARCT,914,0.00653543,0.0000007868,9775.53,560227.0,85721472.0,151795472.0,,-2.02,-1.01,2.95,1526748261,1.1768261486,67.0
